year,plot,Xcoor,Ycoor,tag,trt,clip.treatment,no.clipped,ht,rosetteL,rosetteW,ros.area,ros.areaT1,log.ros.area,log.ros.areaT1,no.flowers,no.flowersT1,total.seeds,log.total.seeds,no.success.cap,pseeds,total.seedsT1,pflowerT1,psurvivalT1,YrTag,life_st,life_stT1,notes
2021,1,2,D,624,irrigated,all,4,NA,12,6,56.54866776,103.6725576,4.035101644,4.641237447,4,5,0,0,0,0,85,1,1,2016,Flowering,Flowering,
2021,1,2,E,389,irrigated,half,2,25,11,5,43.19689899,77.75441818,3.76576871,4.353555375,4,0,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,
2021,1,buffer,buffer,5755,irrigated,all,3,NA,11,4,34.55751919,132.7322896,3.542625159,4.88833424,3,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,In biomass 
2021,1,10,A,578,irrigated,half,1,21,12,12,113.0973355,75.39822369,4.728248824,4.322783716,3,NA,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,
2021,1,12,I,569,irrigated,none,0,24,10,6,47.1238898,80.69966129,3.852780087,4.390734378,5,NA,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,
2021,1,15,B,5757,irrigated,none,0,23,8,6,37.69911184,NA,3.629636536,NA,4,0,0,0,0,0,NA,0,0,2021,Flowering,Dead,
2021,1,14,C,5756,irrigated,all,3,NA,9,6,42.41150082,84.82300165,3.747419571,4.440566752,3,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,
2021,1,19,H,5758,irrigated,none,0,18,9,7,49.48008429,47.1238898,3.901570251,3.852780087,2,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,Almost in buffer
2021,1,19,I,1734,irrigated,all,3,NA,8,6.5,40.8407045,39.26990817,3.709679243,3.67045853,3,NA,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,
2021,1,buffer,buffer,5759,irrigated,none,0,21,8,7,43.98229715,49.48008429,3.783787215,3.901570251,3,2,16,2.833213344,1,1,NA,1,1,2021,Flowering,Flowering,In buffer (W side) by 5758
2021,1,buffer,buffer,5760,irrigated,half,1,20,9,9,63.61725124,63.61725124,4.152884679,4.152884679,2,3,21,3.091042453,1,1,NA,1,1,2021,Flowering,Flowering,In buffer (W side) by 5758
2021,1,14,H,5774,irrigated,half,1,21,11,6,51.83627878,56.54866776,3.948090267,4.035101644,3,5,43,3.784189634,2,1,34,1,1,2021,Flowering,Flowering,
2021,2,3,I,253,control,none,0,19,8,6,37.69911184,67.15154297,3.629636536,4.206951901,2,NA,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,
2021,2,4,J,525,control,half,1,15,7,3.5,19.242255,31.41592654,2.957108642,3.447314979,3,NA,0,0,0,0,NA,0,1,2016,Flowering,Vegetative,
2021,2,buffer,buffer,5722,control,all,2,NA,9,4,28.27433388,39.26990817,3.341954463,3.67045853,2,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,Biomass
2021,2,6,H,1448,control,half,1,16.5,8,3.5,21.99114858,37.69911184,3.090640035,3.629636536,3,NA,0,0,0,0,NA,0,1,2019,Flowering,Vegetative,
2021,2,9,E,5723,control,none,0,17.5,9.5,5,37.30641276,22.38384766,3.619165236,3.108339612,2,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,
2021,2,10,D,786,control,all,5,NA,9.5,8,59.69026042,213.6283004,4.089168865,5.364237591,5,2,0,0,0,0,42,1,1,2017,Flowering,Flowering,
2021,2,11,B,28,control,half,2,14,8.5,4,26.70353756,21.20575041,3.284796049,3.054272391,3,NA,0,0,0,0,NA,0,1,2018,Flowering,Vegetative,
2021,2,13,B,489,control,half,1,17,7,5,27.48893572,NA,3.313783586,NA,2,0,0,0,0,0,NA,0,0,2018,Flowering,Dead,
2021,2,15,F,125,control,all,3,NA,9,6.5,45.94579256,NA,3.827462279,NA,3,0,0,0,0,0,NA,0,0,2017,Flowering,Dead,
2021,2,16,D,479,control,all,5,NA,5,4,15.70796327,NA,2.754167798,NA,5,0,0,0,0,0,NA,0,0,2018,Flowering,Dead,
2021,2,16,C,66,control,none,0,16,11,8,69.11503838,11.78097245,4.235772339,2.466485726,3,NA,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,
2021,2,16,C,491,control,none,0,18,11.5,5,45.1603944,76.57632093,3.810220473,4.338287903,3,NA,9,2.302585093,1,1,NA,0,1,2018,Flowering,Vegetative,
2021,3,2,B,538,control,half,2,16.5,17,12,160.2212253,229.7289628,5.076555519,5.436900191,4,NA,10,2.397895273,1,1,NA,0,1,2018,Flowering,Vegetative,
2021,3,2,E,774,control,all,6,NA,9,8.5,60.0829595,131.9468915,4.095726266,4.882399504,6,5,0,0,0,0,51,1,1,2017,Flowering,Flowering,
2021,3,2,H,588,control,all,5,NA,11,8,69.11503838,130.7687942,4.235772339,4.873430834,5,7,0,0,0,0,134,1,1,2017,Flowering,Flowering,
2021,3,4,C,540,control,none,0,26,14,11,120.9513172,212.0575041,4.795388127,5.356857484,4,NA,59,4.094344562,4,1,0,1,1,2017,Flowering,Flowering,
2021,3,3,E,693,control,half,1,19,9.5,7,52.22897787,65.97344573,3.955637472,4.189252324,3,NA,28,3.36729583,2,1,NA,0,1,2016,Flowering,Vegetative,
2021,3,4,F,857,control,half,2,24.5,9,5,35.34291735,77.75441818,3.565098014,4.353555375,3,NA,0,0,0,0,NA,0,1,2018,Flowering,Vegetative,
2021,3,5,E,834,control,all,5,NA,10,9,70.68583471,77.75441818,4.258245195,4.353555375,5,4,0,0,0,0,78,1,1,2017,Flowering,Flowering,
2021,3,3,E,514,control,all,4,NA,14,10,109.9557429,133.5176878,4.700077947,4.894233962,4,NA,0,0,0,0,0,1,1,2016,Flowering,Flowering,
2021,3,6,C,742,control,none,0,16,12,10.5,98.96016859,51.83627878,4.594717432,3.948090267,6,NA,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,
2021,3,8,C,839,control,half,2,14.5,12,6,56.54866776,120.9513172,4.035101644,4.795388127,4,3,0,0,0,0,57,1,1,2017,Flowering,Flowering,Multiple rosettes (>1 plant?)
2021,3,8,F,59,control,none,0,15,6,5,23.5619449,87.9645943,3.159632906,4.476934396,4,NA,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,
2021,3,16,H,591,control,none,0,23,13,10.5,107.2068493,164.9336143,4.674760139,5.105543055,6,5,57,4.060443011,5,1,21,1,1,2017,Flowering,Flowering,
2021,3,3,E,718,control,none,0,22,11,10,86.39379797,56.54866776,4.458915891,4.035101644,5,NA,96,4.574710979,4,1,NA,0,1,2016,Flowering,Vegetative,
2021,3,5,F,31,control,half,1,17,10.5,4,32.98672286,106.8141502,3.496105143,4.67109041,2,NA,24,3.218875825,1,1,NA,0,1,2017,Flowering,Vegetative,
2021,5,buffer,buffer,5706,drought,half,2,25,11,9,77.75441818,35.34291735,4.353555375,3.565098014,3,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,In buffer in corner by biomass
2021,5,buffer,buffer,5704,drought,none,0,17,7,6,32.98672286,45.1603944,3.496105143,3.810220473,4,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,Wilting. In buffer by biomass
2021,5,buffer,buffer,5705,drought,all,2,NA,9,5.5,38.87720909,76.96902001,3.660408194,4.343403003,2,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,In buffer by biomass
2021,5,buffer,buffer,5701,drought,all,3,NA,6,2,9.424777961,22.38384766,2.243342175,3.108339612,3,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,Leaves very dry
2021,5,buffer,buffer,5702,drought,half,2,17,6,3,14.13716694,49.48008429,2.648807283,3.901570251,3,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,Leaves very dry
2021,5,6,D,957,drought,half,2,17,6.5,6,30.63052837,159.0431281,3.421997171,5.069175411,3,NA,0,0,0,0,NA,0,1,2017,Flowering,Vegetative,Senescing and not making capsules.
2021,5,10,E,544,drought,none,0,NA,7,1.5,8.246680716,NA,2.109810782,NA,3,NA,0,0,0,0,NA,NA,0,2016,Flowering,Dead,Two small leaves
2021,5,2,A,5703,drought,half,3,20.5,8,2,12.56637061,NA,2.531024247,NA,5,0,0,0,0,0,NA,0,0,2021,Flowering,Dead,"Leaves very dry, may have fungus spots"
2021,5,12,F,156,drought,none,0,NA,9,3,21.20575041,129.590697,3.054272391,4.864380999,3,NA,0,0,0,0,NA,0,1,2018,Flowering,Vegetative,Wilting and flowers not making capsules
2021,5,16,A,989,drought,none,0,10,6,5,23.5619449,62.83185307,3.159632906,4.140462159,1,3,0,0,0,0,30,1,1,2017,Flowering,Flowering,Wilting
2021,5,17,B,659,drought,all,5,NA,7,6,32.98672286,NA,3.496105143,NA,5,0,0,0,0,0,NA,0,0,2018,Flowering,Dead,"Senescing, leaves very dry and brown"
2021,5,buffer,buffer,5724,drought,all,0,NA,7.5,4,23.5619449,76.96902001,3.159632906,4.343403003,4,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,Buffer by subplot 4
2021,5,buffer,buffer,5761,drought,all,2,NA,10,9,70.68583471,219.9114858,4.258245195,5.393225128,2,NA,0,0,0,0,NA,0,1,2021,Flowering,Vegetative,Buffer by diversity
