year,plot,tag,trt,clipping_exp,rosetteL,rosetteW,psurvival,psurvivalT1,pflower,pflowerT1,ros.area,ros.areaT1,log.ros.area,log.ros.areaT1,flow.sum,flow.sumT1,total.seeds,total.seedsT1,percapseeds,life_st
2017,1,1,irrigated,NA,6.5,1.5,1,1,0,0,7.657632093,15.70796327,2.03570281,2.754167798,0,0,NA,NA,NA,V
2018,1,1,irrigated,NA,8,2.5,1,1,0,0,15.70796327,15.31526419,2.754167798,2.72884999,0,0,NA,NA,NA,V
2019,1,1,irrigated,NA,6.5,3,1,NA,0,NA,15.31526419,NA,2.72884999,NA,0,0,NA,NA,NA,V
2020,1,1,irrigated,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2021,1,1,irrigated,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,U
2022,1,1,irrigated,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,U
2023,3,10,control,NA,6,6,1,NA,0,NA,28.27433388,NA,3.341954463,NA,0,NA,NA,NA,NA,V
2018,2,1002,control,NA,7,5,1,1,0,0,27.48893572,16.49336143,3.313783586,2.802957962,0,0,NA,NA,NA,V
2019,2,1002,control,NA,7,3,1,NA,0,NA,16.49336143,NA,2.802957962,NA,0,0,NA,NA,NA,V
2020,2,1002,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2021,2,1002,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2022,2,1002,control,NA,NA,NA,NA,1,NA,0,NA,70.68583471,NA,4.258245195,0,0,NA,NA,NA,NA
2023,2,1002,control,NA,9,10,1,NA,0,NA,70.68583471,NA,4.258245195,NA,0,NA,NA,NA,NA,V
2018,6,1006,irrigated,NA,13,6,1,1,0,0,61.26105675,98.96016859,4.115144351,4.594717432,0,0,NA,NA,NA,V
2019,6,1006,irrigated,NA,12,10.5,1,NA,0,NA,98.96016859,NA,4.594717432,NA,0,0,NA,NA,NA,V
2020,6,1006,irrigated,NA,NA,NA,NA,1,NA,0,NA,42.41150082,NA,3.747419571,0,0,NA,NA,NA,NA
2021,6,1006,irrigated,NA,9,6,1,1,0,0,42.41150082,58.90486225,3.747419571,4.075923638,0,0,NA,NA,NA,V
2022,6,1006,irrigated,NA,12.5,6,1,1,0,0,58.90486225,51.83627878,4.075923638,3.948090267,0,0,NA,NA,NA,V
2023,6,1006,irrigated,NA,11,6,1,NA,0,NA,51.83627878,NA,3.948090267,NA,0,NA,NA,NA,NA,V
2018,15,1007,drought,NA,7,5.5,1,1,0,0,30.23782929,38.48451001,3.409093766,3.650255823,0,0,NA,NA,NA,V
